fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,goals_assists,goals_total,penalty_won,penalty_commited,offsides
208990,1899 Hoffenheim,167,25366,Kevin Akpoguma,https://media.api-sports.io/football/players/25366.png,90,25,D,6.6,False,False,1,0,0.0,,39,0,86%,0.0,2,0,0,1.0,1,0,0,0,0,0,,4.0,,,,,
208990,1899 Hoffenheim,167,713,Kevin Vogt,https://media.api-sports.io/football/players/713.png,61,22,D,6.8,True,False,0,0,0.0,,65,0,94%,1.0,1,0,0,,1,0,0,0,0,0,,,,,,,
208990,1899 Hoffenheim,167,708,Benjamin Hübner,https://media.api-sports.io/football/players/708.png,90,21,D,7.5,False,False,2,2,0.0,,67,0,80%,0.0,2,1,0,2.0,3,0,0,0,0,0,,4.0,,1.0,,,
208990,1899 Hoffenheim,167,719,Florian Grillitsch,https://media.api-sports.io/football/players/719.png,90,11,M,6.7,False,False,0,0,0.0,,40,3,85%,0.0,1,1,1,2.0,1,3,0,0,0,0,,1.0,1.0,,,,
208990,1899 Hoffenheim,167,709,Pavel Kadeřábek,https://media.api-sports.io/football/players/709.png,90,3,M,6.4,False,False,2,0,0.0,,25,0,73%,0.0,1,0,0,,1,2,1,0,0,0,,2.0,,,,,
208990,1899 Hoffenheim,167,416,Sebastian Rudy,https://media.api-sports.io/football/players/416.png,90,16,M,7.0,False,False,1,0,0.0,,32,3,80%,0.0,0,2,1,3.0,3,1,1,0,0,0,,2.0,1.0,,,,
208990,1899 Hoffenheim,167,720,Lukas Rupp,https://media.api-sports.io/football/players/720.png,72,7,M,6.7,False,False,0,0,0.0,,24,0,80%,0.0,1,0,0,1.0,2,0,0,0,0,0,,3.0,,,,,
208990,1899 Hoffenheim,167,1298,Robert Skov,https://media.api-sports.io/football/players/1298.png,90,29,M,7.3,False,False,1,0,0.0,,32,4,69%,0.0,0,2,1,1.0,2,1,0,0,0,0,,2.0,1.0,,,,
208990,1899 Hoffenheim,167,18981,Jürgen Locadia,https://media.api-sports.io/football/players/18981.png,61,37,F,6.9,False,False,2,2,0.0,,14,0,70%,0.0,0,0,0,,0,2,0,0,0,0,,3.0,,1.0,,,
208990,1899 Hoffenheim,167,726,Andrej Kramarić,https://media.api-sports.io/football/players/726.png,90,27,F,6.9,False,False,6,5,0.0,,29,2,90%,0.0,0,2,2,1.0,3,0,0,0,0,0,,,,1.0,,,
208990,1899 Hoffenheim,167,705,Ermin Bičakčić,https://media.api-sports.io/football/players/705.png,29,4,D,6.3,False,False,0,0,0.0,,8,0,88%,0.0,0,0,0,1.0,0,1,0,0,0,0,,,,,,,
208990,1899 Hoffenheim,167,24993,Sargis Adamyan,https://media.api-sports.io/football/players/24993.png,18,23,F,6.3,False,False,1,0,0.0,,5,1,83%,0.0,0,0,0,,0,0,0,0,0,0,,,,,,,
