fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,duels_total,duels_won,fouls_committed,fouls_drawn,tackles_interceptions,shots_total,shots_on,offsides,goals_total,dribbles_attempts,dribbles_success,tackles_blocks,dribbles_past,penalty_won,penalty_commited
923704,Lamia,956,26851,Athanasios Garavelis,https://media.api-sports.io/football/players/26851.png,90.0,1,G,5.6,False,False,3,,34.0,19,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
923704,Lamia,956,46793,David Simón,https://media.api-sports.io/football/players/46793.png,90.0,15,D,5.9,False,False,0,,36.0,17,0,0,0,0,,,,2.0,9.0,4.0,3.0,1.0,1.0,,,,,,,,,,
923704,Lamia,956,15293,Savvas Gentsoglou,https://media.api-sports.io/football/players/15293.png,90.0,33,D,6.5,False,False,0,,22.0,17,0,0,0,0,,,1.0,,5.0,2.0,2.0,2.0,2.0,,,,,,,1.0,1.0,,
923704,Lamia,956,26712,Adam Tzanetopoulos,https://media.api-sports.io/football/players/26712.png,90.0,5,D,6.2,False,False,0,,19.0,11,1,0,0,0,,,1.0,,3.0,2.0,1.0,2.0,,,,,,,,,,,
923704,Lamia,956,27089,Konstantinos Provydakis,https://media.api-sports.io/football/players/27089.png,58.0,2,M,6.7,False,False,0,,11.0,4,0,0,0,0,,,,1.0,2.0,2.0,,,1.0,,,,,,,,,,
923704,Lamia,956,26696,Sotiris Tsiloulis,https://media.api-sports.io/football/players/26696.png,90.0,23,M,6.2,False,False,0,,18.0,13,0,0,0,0,,,,1.0,9.0,5.0,1.0,3.0,2.0,,,,,1.0,,,,,
923704,Lamia,956,44850,Vykintas Slivka,https://media.api-sports.io/football/players/44850.png,90.0,14,M,6.7,False,False,0,,22.0,13,0,0,0,0,,,,1.0,8.0,5.0,2.0,3.0,,,,,,1.0,,,,1.0,
923704,Lamia,956,27181,Paris Babis,https://media.api-sports.io/football/players/27181.png,83.0,20,M,6.6,False,False,0,,14.0,8,0,0,0,0,,,,5.0,10.0,7.0,1.0,1.0,2.0,,,,,1.0,,,,,
923704,Lamia,956,11019,Ivan Goranov,https://media.api-sports.io/football/players/11019.png,90.0,17,M,5.9,False,False,0,,23.0,15,0,0,0,0,,,,,4.0,,1.0,,3.0,,,,,1.0,,,1.0,,
923704,Lamia,956,15291,Tomás De Vincenti,https://media.api-sports.io/football/players/15291.png,74.0,10,F,5.7,True,False,0,,19.0,11,0,0,0,1,,,1.0,2.0,7.0,2.0,2.0,,1.0,1.0,,,,,,,,,
923704,Lamia,956,13977,Cristopher Nunez,https://media.api-sports.io/football/players/13977.png,90.0,7,F,6.7,False,False,0,,20.0,14,0,0,0,0,,,,1.0,7.0,4.0,,2.0,,1.0,,,,1.0,1.0,,,,
923704,Lamia,956,315773,Nikolaos Tropoulos,https://media.api-sports.io/football/players/315773.png,,21,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923704,Lamia,956,26680,Giorgos Saramantas,https://media.api-sports.io/football/players/26680.png,7.0,3,D,,False,True,0,,,,0,0,0,0,,,,,2.0,,,,,,,,,1.0,,,,,
923704,Lamia,956,6678,Oliver Benítez,https://media.api-sports.io/football/players/6678.png,,26,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923704,Lamia,956,26664,Theodoros Vasilakakis,https://media.api-sports.io/football/players/26664.png,,25,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923704,Lamia,956,315774,Vasilios Troumpoulos,https://media.api-sports.io/football/players/315774.png,,32,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923704,Lamia,956,88861,Athanasios Margaritis,https://media.api-sports.io/football/players/88861.png,,34,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923704,Lamia,956,26720,Nikolaos Tsoukalos,https://media.api-sports.io/football/players/26720.png,16.0,45,M,7.2,False,True,0,,5.0,3,0,0,0,0,,,,2.0,3.0,3.0,,,,1.0,,,,,,,,,
923704,Lamia,956,382220,Panagiotis Anagnostopoulos,https://media.api-sports.io/football/players/382220.png,,88,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923704,Lamia,956,26666,Giorgos Manousos,https://media.api-sports.io/football/players/26666.png,32.0,9,F,6.5,False,True,0,,4.0,4,0,0,0,0,,,,,4.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,
923704,AEK Athens FC,575,1079,Cican Stanković,https://media.api-sports.io/football/players/1079.png,90.0,1,G,7,False,False,0,,34.0,31,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
923704,AEK Athens FC,575,1986,Domagoj Vida,https://media.api-sports.io/football/players/1986.png,83.0,21,D,7.3,False,False,0,,66.0,55,0,0,0,0,,1.0,1.0,1.0,7.0,4.0,1.0,1.0,2.0,,,,,2.0,2.0,,,,
923704,AEK Athens FC,575,49936,Georgios Tzavellas,https://media.api-sports.io/football/players/49936.png,90.0,31,D,7.3,False,False,0,,70.0,61,0,0,0,0,,,,,5.0,5.0,,3.0,1.0,,,,,,,2.0,,,
923704,AEK Athens FC,575,2685,Ehsan Haji Safi,https://media.api-sports.io/football/players/2685.png,90.0,28,D,7.3,False,False,0,,62.0,51,0,0,0,0,,,,1.0,9.0,5.0,1.0,2.0,2.0,,,,,2.0,1.0,,,,
923704,AEK Athens FC,575,3011,Damian Szymański,https://media.api-sports.io/football/players/3011.png,90.0,4,M,6.9,False,False,0,,55.0,44,1,0,0,0,,,,5.0,10.0,5.0,4.0,,2.0,,,,,,,,1.0,,1.0
923704,AEK Athens FC,575,2719,Nordin Amrabat,https://media.api-sports.io/football/players/2719.png,89.0,5,M,6.9,False,False,0,,31.0,27,0,0,0,0,,,1.0,1.0,9.0,2.0,5.0,1.0,,,,,,1.0,,1.0,,,
923704,AEK Athens FC,575,50009,Jens Jønsson,https://media.api-sports.io/football/players/50009.png,90.0,6,M,7.3,False,False,0,,41.0,36,0,0,0,0,,,,3.0,4.0,3.0,1.0,,1.0,,,,,,,1.0,,,
923704,AEK Athens FC,575,35576,Orbelín Pineda,https://media.api-sports.io/football/players/35576.png,76.0,13,M,7.2,False,False,0,,21.0,17,0,0,0,0,,,1.0,,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
923704,AEK Athens FC,575,2811,Steven Zuber,https://media.api-sports.io/football/players/2811.png,89.0,10,M,6.9,False,False,0,,30.0,23,0,0,0,0,,,1.0,1.0,6.0,2.0,,1.0,,3.0,,3.0,,1.0,,,,,
923704,AEK Athens FC,575,47011,Sergio Araujo,https://media.api-sports.io/football/players/47011.png,84.0,11,F,8.5,True,False,0,,15.0,10,0,0,0,0,,,2.0,,7.0,1.0,3.0,1.0,,2.0,2.0,,2.0,,,,,,
