fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_blocks,duels_total,duels_won,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,shots_total,dribbles_attempts,dribbles_success,offsides,passes_key,shots_on,goals_assists,goals_total,penalty_won,penalty_commited
1049034,Bayern Munich,157,280335,Frans Krätzig,https://media.api-sports.io/football/players/280335.png,,41,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Bayern Munich,157,175,Eric Dier,https://media.api-sports.io/football/players/175.png,,15,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Bayern Munich,157,328033,Aleksandar Pavlović,https://media.api-sports.io/football/players/328033.png,,45,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Bayern Munich,157,314226,Lovro Zvonarek,https://media.api-sports.io/football/players/314226.png,,34,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Werder Bremen,162,7288,Michael Zetterer,https://media.api-sports.io/football/players/7288.png,90.0,30,G,8.6,False,False,0,7.0,34.0,24,0,0,0,0,0.0,,,1.0,,,,,,,,,,,,,,,
1049034,Werder Bremen,162,2916,Niklas Stark,https://media.api-sports.io/football/players/2916.png,90.0,4,D,7.2,False,False,0,,27.0,22,0,0,0,0,,2.0,2.0,5.0,2.0,,,2.0,,,,,,,,,,,
1049034,Werder Bremen,162,25314,Marco Friedl,https://media.api-sports.io/football/players/25314.png,90.0,32,D,7.3,True,False,0,,26.0,19,0,0,0,0,,1.0,,4.0,3.0,,,1.0,,,,,,,,,,,
1049034,Werder Bremen,162,15874,Anthony Jung,https://media.api-sports.io/football/players/15874.png,90.0,3,D,7.5,False,False,0,,39.0,36,0,0,0,0,,1.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,,
1049034,Werder Bremen,162,973,Mitchell Weiser,https://media.api-sports.io/football/players/973.png,90.0,8,M,7.9,False,False,0,,40.0,28,0,0,0,0,,3.0,1.0,19.0,8.0,3.0,,1.0,1.0,3.0,7.0,4.0,,2.0,2.0,,1.0,,
1049034,Werder Bremen,162,7562,Romano Schmid,https://media.api-sports.io/football/players/7562.png,84.0,20,M,6.6,False,False,0,,36.0,29,1,0,0,0,,1.0,,10.0,3.0,,1.0,2.0,2.0,1.0,2.0,,,1.0,,,,,
1049034,Werder Bremen,162,38798,Senne Lynen,https://media.api-sports.io/football/players/38798.png,90.0,14,M,6.7,False,False,0,,35.0,27,0,0,0,0,,2.0,,13.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
1049034,Werder Bremen,162,15592,Jens Stage,https://media.api-sports.io/football/players/15592.png,90.0,6,M,7.2,False,False,0,,33.0,24,0,0,0,0,,2.0,1.0,12.0,8.0,1.0,3.0,1.0,3.0,1.0,,,,,1.0,,,,
1049034,Werder Bremen,162,26319,Felix Agu,https://media.api-sports.io/football/players/26319.png,89.0,27,M,6.9,False,False,0,,12.0,8,0,0,0,0,,3.0,,8.0,5.0,1.0,,,1.0,,,,,,,,,,
1049034,Werder Bremen,162,177807,Justin Njinmah,https://media.api-sports.io/football/players/177807.png,89.0,17,F,6.9,False,False,0,,17.0,15,0,0,0,0,,,,9.0,5.0,1.0,1.0,,2.0,1.0,4.0,3.0,1.0,1.0,,,,,
1049034,Werder Bremen,162,158054,Nick Woltemade,https://media.api-sports.io/football/players/158054.png,65.0,29,F,7.3,False,False,0,,20.0,13,0,0,0,0,,4.0,,14.0,8.0,,,,,,5.0,4.0,,2.0,,,,,
1049034,Werder Bremen,162,6011,Rafael Borré,https://media.api-sports.io/football/players/6011.png,25.0,19,F,6.7,False,True,0,,4.0,2,0,0,0,0,,1.0,,7.0,3.0,3.0,,,1.0,,,,,,,,,,
1049034,Werder Bremen,162,3013,Dawid Kownacki,https://media.api-sports.io/football/players/3013.png,12.0,9,F,6.3,False,True,0,,2.0,1,0,0,0,0,,1.0,,4.0,2.0,,,,,,,,,,,,,,
1049034,Werder Bremen,162,8673,Olivier Deman,https://media.api-sports.io/football/players/8673.png,1.0,2,D,,False,True,0,,,,0,0,0,0,,,,1.0,1.0,,,,1.0,,,,,,,,,,
