fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
27500,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,4,5,11.0,2,5.0,6.0,16,5,7,48%,5,,4,440.0,379.0,86%,,,,,,,,,
27500,536,Sevilla,https://media.api-sports.io/football/teams/536.png,5,4,11.0,2,5.0,6.0,12,7,5,52%,4,,3,461.0,397.0,86%,,,,,,,,,
27499,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,4,1,8.0,3,6.0,2.0,16,3,1,51%,4,,1,469.0,389.0,83%,,,,,,,,,
27499,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,2,1,4.0,1,4.0,0.0,18,3,1,49%,3,,1,434.0,345.0,79%,,,,,,,,,
27507,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,5,10.0,1,8.0,2.0,9,7,3,43%,2,,2,346.0,249.0,72%,,,,,,,,,
27507,542,Alaves,https://media.api-sports.io/football/teams/542.png,3,5,10.0,2,5.0,5.0,14,4,0,57%,5,,1,450.0,348.0,77%,,,,,,,,,
27508,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,6,11.0,2,8.0,3.0,11,5,6,41%,3,,0,340.0,231.0,68%,,,,,,,,,
27508,545,Eibar,https://media.api-sports.io/football/teams/545.png,0,4,5.0,1,4.0,1.0,14,3,6,59%,2,,2,477.0,359.0,75%,,,,,,,,,
27504,537,Leganes,https://media.api-sports.io/football/teams/537.png,4,5,11.0,2,9.0,2.0,11,6,2,46%,4,1.0,5,392.0,313.0,80%,,,,,,,,,
27504,540,Espanyol,https://media.api-sports.io/football/teams/540.png,7,9,19.0,3,12.0,7.0,9,7,6,54%,1,,4,471.0,397.0,84%,,,,,,,,,
27502,543,Real Betis,https://media.api-sports.io/football/teams/543.png,8,6,17.0,3,12.0,5.0,13,9,1,61%,3,,1,480.0,422.0,88%,,,,,,,,,
27502,726,Huesca,https://media.api-sports.io/football/teams/726.png,2,3,9.0,4,4.0,5.0,15,2,3,39%,5,1.0,6,305.0,238.0,78%,,,,,,,,,
27503,547,Girona,https://media.api-sports.io/football/teams/547.png,6,4,14.0,4,11.0,3.0,15,9,2,59%,2,,1,372.0,280.0,75%,,,,,,,,,
27503,539,Levante,https://media.api-sports.io/football/teams/539.png,3,4,7.0,0,2.0,5.0,16,2,0,41%,3,,5,268.0,166.0,62%,,,,,,,,,
27506,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,7,7,19.0,5,11.0,8.0,12,5,3,54%,1,,1,535.0,463.0,87%,,,,,,,,,
27506,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,2,6.0,2,5.0,1.0,16,2,3,46%,2,1.0,4,455.0,381.0,84%,,,,,,,,,
27505,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,5,10,16.0,1,9.0,7.0,13,4,3,70%,2,,4,502.0,435.0,87%,,,,,,,,,
27505,720,Valladolid,https://media.api-sports.io/football/teams/720.png,6,2,9.0,1,4.0,5.0,9,2,2,30%,2,,4,223.0,129.0,58%,,,,,,,,,
27515,539,Levante,https://media.api-sports.io/football/teams/539.png,7,9,17.0,1,11.0,6.0,9,6,,46%,0,,6,423.0,357.0,84%,,,,,,,,,
27515,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,8,5,17.0,4,7.0,10.0,7,4,,54%,1,1.0,5,501.0,432.0,86%,,,,,,,,,
27517,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,5,9.0,1,7.0,2.0,14,2,4,46%,4,,1,391.0,273.0,70%,,,,,,,,,
27517,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,1,6,10.0,3,9.0,1.0,19,3,0,54%,2,,2,439.0,326.0,74%,,,,,,,,,
27512,540,Espanyol,https://media.api-sports.io/football/teams/540.png,4,5,10.0,1,7.0,3.0,13,4,3,37%,3,,2,273.0,198.0,73%,,,,,,,,,
27512,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,5,11.0,4,4.0,7.0,13,5,1,63%,2,,2,447.0,367.0,82%,,,,,,,,,
27513,546,Getafe,https://media.api-sports.io/football/teams/546.png,5,9,17.0,3,12.0,5.0,16,6,6,40%,2,,2,299.0,201.0,67%,,,,,,,,,
27513,533,Villarreal,https://media.api-sports.io/football/teams/533.png,4,2,8.0,2,5.0,3.0,20,4,4,60%,3,,3,454.0,342.0,75%,,,,,,,,,
27518,720,Valladolid,https://media.api-sports.io/football/teams/720.png,4,7,19.0,8,11.0,8.0,12,8,1,49%,1,,4,433.0,363.0,84%,,,,,,,,,
27518,532,Valencia,https://media.api-sports.io/football/teams/532.png,6,2,9.0,1,6.0,3.0,10,2,3,51%,4,,4,443.0,380.0,86%,,,,,,,,,
27510,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,5,4,14.0,5,11.0,3.0,16,3,1,45%,0,,2,384.0,303.0,79%,,,,,,,,,
27510,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,4,3,11.0,4,7.0,4.0,20,5,2,55%,4,,3,466.0,397.0,85%,,,,,,,,,
27509,542,Alaves,https://media.api-sports.io/football/teams/542.png,7,5,14.0,2,10.0,4.0,13,6,1,43%,3,,3,323.0,235.0,73%,,,,,,,,,
27509,547,Girona,https://media.api-sports.io/football/teams/547.png,4,7,13.0,2,8.0,5.0,10,4,4,57%,3,,5,435.0,350.0,80%,,,,,,,,,
27514,726,Huesca,https://media.api-sports.io/football/teams/726.png,6,6,15.0,3,6.0,9.0,18,4,1,50%,0,,1,404.0,309.0,76%,,,,,,,,,
27514,537,Leganes,https://media.api-sports.io/football/teams/537.png,1,6,9.0,2,8.0,1.0,12,6,2,50%,1,,4,381.0,283.0,74%,,,,,,,,,
27516,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,6,9.0,1,4.0,5.0,18,1,1,47%,4,,5,466.0,401.0,86%,,,,,,,,,
27516,543,Real Betis,https://media.api-sports.io/football/teams/543.png,7,2,9.0,0,5.0,4.0,10,5,4,53%,1,,2,533.0,453.0,85%,,,,,,,,,
27511,545,Eibar,https://media.api-sports.io/football/teams/545.png,8,10,18.0,0,13.0,5.0,17,5,0,39%,4,,1,393.0,286.0,73%,,,,,,,,,
27511,529,Barcelona,https://media.api-sports.io/football/teams/529.png,3,4,8.0,1,6.0,2.0,5,2,6,61%,2,,6,633.0,544.0,86%,,,,,,,,,
