fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,dribbles_attempts,dribbles_success,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,fouls_drawn,fouls_committed,goals_assists,tackles_blocks,goals_total,dribbles_past,offsides,penalty_commited,penalty_won
1126342,Bayer Leverkusen,168,152654,Jeremie Frimpong,https://media.api-sports.io/football/players/152654.png,18.0,30,D,6.7,False,True,0,,4.0,4,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,Bayer Leverkusen,168,24903,Robert Andrich,https://media.api-sports.io/football/players/24903.png,12.0,8,M,6.6,False,True,0,,17.0,16,2.0,1.0,,,0,0,0,0,,,,,1.0,,,1.0,,,,,,,
1126342,Bayer Leverkusen,168,25168,Niklas Lomb,https://media.api-sports.io/football/players/25168.png,,36,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,Bayer Leverkusen,168,963,Lukáš Hrádecký,https://media.api-sports.io/football/players/963.png,,1,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,Bayer Leverkusen,168,48119,Odilon Kossounou,https://media.api-sports.io/football/players/48119.png,18.0,6,D,6.3,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,Bayer Leverkusen,168,324034,Gustavo Puerta,https://media.api-sports.io/football/players/324034.png,,32,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1126342,BK Hacken,367,48007,Peter Abrahamsson,https://media.api-sports.io/football/players/48007.png,90.0,26,G,7.2,False,False,4,6.0,18.0,15,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,
1126342,BK Hacken,367,48120,Simon Sandberg,https://media.api-sports.io/football/players/48120.png,76.0,13,D,6.2,False,False,0,,36.0,30,3.0,2.0,,,0,0,0,0,,1.0,1.0,,2.0,,,1.0,,,,,,,
1126342,BK Hacken,367,48014,Aiham Ousou,https://media.api-sports.io/football/players/48014.png,76.0,4,D,6.3,False,False,0,,43.0,37,5.0,2.0,,,0,0,0,0,,,,,1.0,,1.0,,,3.0,,1.0,,,
1126342,BK Hacken,367,1172,Even Hovland,https://media.api-sports.io/football/players/1172.png,90.0,5,D,6.3,False,False,0,,57.0,54,1.0,,,,0,0,0,0,,1.0,1.0,,,,,,,,,,,,
1126342,BK Hacken,367,89717,Valgeir Lunddal,https://media.api-sports.io/football/players/89717.png,90.0,12,D,6.3,False,False,0,,46.0,43,5.0,3.0,2.0,1.0,0,0,0,0,,,,1.0,2.0,2.0,,,,,,,,,
1126342,BK Hacken,367,15919,Mikkel Rygaard Jensen,https://media.api-sports.io/football/players/15919.png,90.0,18,M,7.7,False,False,0,,70.0,60,10.0,6.0,4.0,3.0,0,0,0,0,,3.0,2.0,3.0,,1.0,3.0,1.0,,,,1.0,,,
1126342,BK Hacken,367,30931,Samuel Gustafson,https://media.api-sports.io/football/players/30931.png,90.0,11,M,7.2,True,False,0,,80.0,79,7.0,2.0,,,0,0,0,0,,,,1.0,2.0,,,3.0,,1.0,,2.0,,,
1126342,BK Hacken,367,350854,Amane Romeo,https://media.api-sports.io/football/players/350854.png,71.0,27,M,6.7,False,False,0,,40.0,34,6.0,2.0,3.0,1.0,0,0,0,0,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,
1126342,BK Hacken,367,48056,Edward Chilufya,https://media.api-sports.io/football/players/48056.png,71.0,17,F,6.3,False,False,0,,20.0,19,10.0,3.0,4.0,3.0,0,0,0,0,,,,,,,,2.0,,,,1.0,,,
1126342,BK Hacken,367,37180,Simon Gustafson,https://media.api-sports.io/football/players/37180.png,71.0,14,F,6.6,False,False,0,,25.0,21,4.0,3.0,1.0,1.0,0,0,0,0,,,,,,,1.0,,,,,1.0,,,
1126342,BK Hacken,367,39078,Amor Layouni,https://media.api-sports.io/football/players/39078.png,90.0,24,F,7.3,False,False,0,,24.0,21,13.0,8.0,6.0,5.0,0,0,0,0,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,
