fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_past,fouls_drawn,penalty_won,tackles_blocks,fouls_committed,dribbles_attempts,dribbles_success,shots_total,shots_on,goals_total,penalty_commited,offsides
881811,Inter,505,217,Lautaro Martínez,https://media.api-sports.io/football/players/217.png,35.0,10,F,7.3,False,True,0,,15.0,11,0,0,0,0,,,1.0,2.0,,3.0,3.0,,1.0,,,,,,2.0,1.0,1.0,,
881811,Inter,505,220,Eddie Salcedo,https://media.api-sports.io/football/players/220.png,,16,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Cremonese,520,30765,Andrei Radu,https://media.api-sports.io/football/players/30765.png,90.0,97,G,6.3,False,False,3,4.0,27.0,22,0,0,0,0,0.0,,,,,1.0,1.0,,1.0,,,,,,,,,,
881811,Cremonese,520,7719,Emanuel Aiwu,https://media.api-sports.io/football/players/7719.png,81.0,4,D,6.7,False,False,0,,47.0,40,1,0,0,0,,,1.0,4.0,2.0,8.0,5.0,,,,,2.0,,,1.0,,,,
881811,Cremonese,520,30919,Matteo Bianchetti,https://media.api-sports.io/football/players/30919.png,90.0,15,D,6.6,True,False,0,,51.0,47,0,0,0,0,,,,4.0,,11.0,5.0,,,,2.0,2.0,,,,,,,
881811,Cremonese,520,61224,Luka Lochoshvili,https://media.api-sports.io/football/players/61224.png,67.0,44,D,6.7,False,False,0,,41.0,35,0,0,0,0,,,,1.0,2.0,6.0,4.0,1.0,,,,,1.0,1.0,,,,,
881811,Cremonese,520,31084,Paolo Ghiglione,https://media.api-sports.io/football/players/31084.png,90.0,18,M,6.5,False,False,0,,25.0,17,0,0,0,0,,,,1.0,1.0,5.0,2.0,,1.0,,,,1.0,,,,,,
881811,Cremonese,520,48555,Charles Pickel,https://media.api-sports.io/football/players/48555.png,90.0,6,M,6.3,False,False,0,,47.0,39,0,0,0,0,,,1.0,1.0,2.0,3.0,1.0,,,,,2.0,,,1.0,1.0,,,
881811,Cremonese,520,47388,Gonzalo Escalante,https://media.api-sports.io/football/players/47388.png,90.0,32,M,6.9,False,False,0,,52.0,44,0,0,0,0,,1.0,2.0,3.0,1.0,5.0,3.0,1.0,,,,,,,,,,,
881811,Cremonese,520,127025,Giacomo Quagliata,https://media.api-sports.io/football/players/127025.png,67.0,33,M,6.3,False,False,0,,8.0,7,0,0,0,0,,,,1.0,,8.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,,
881811,Cremonese,520,26305,Santiago Ascacibar,https://media.api-sports.io/football/players/26305.png,45.0,8,F,6.7,False,False,0,,27.0,20,0,0,0,0,,,,,,2.0,1.0,,,,,1.0,,,,,,,
881811,Cremonese,520,30848,David Okereke,https://media.api-sports.io/football/players/30848.png,90.0,77,F,7.6,False,False,0,,19.0,13,0,0,0,0,,,2.0,,1.0,11.0,4.0,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,
881811,Cremonese,520,37186,Cyriel Dessers,https://media.api-sports.io/football/players/37186.png,67.0,90,F,6.3,False,False,0,,9.0,6,1,0,0,0,,,1.0,,,5.0,,,,,,3.0,1.0,,3.0,2.0,,,2.0
881811,Cremonese,520,56753,Mouhamadou Sarr,https://media.api-sports.io/football/players/56753.png,,45,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
