fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,offsides,penalty_commited,penalty_won
97,Burnley,44,18925,Aaron Lennon,https://media.api-sports.io/football/players/18925.png,90,25,M,6.1,False,False,0,0,0.0,,19,0.0,82%,0,1,8.0,5.0,2.0,1.0,3,1,0,0,0,0,,1.0,,,,,1.0,
97,Burnley,44,18926,Ashley Westwood,https://media.api-sports.io/football/players/18926.png,90,18,M,6.8,False,False,0,0,0.0,,58,1.0,82%,0,1,4.0,1.0,0.0,0.0,0,1,0,0,0,0,,1.0,1.0,,,,,
97,Burnley,44,18922,Jack Cork,https://media.api-sports.io/football/players/18922.png,90,4,M,6.9,False,False,1,0,0.0,,49,2.0,89%,0,1,3.0,2.0,1.0,1.0,0,0,0,0,0,0,,1.0,,,,,,
97,Burnley,44,18929,Dwight McNeil,https://media.api-sports.io/football/players/18929.png,80,31,M,7.2,False,False,2,0,0.0,,31,2.0,83%,0,1,9.0,6.0,0.0,0.0,1,1,1,0,0,0,,2.0,1.0,,,,,
97,Burnley,44,18924,Jeff Hendrick,https://media.api-sports.io/football/players/18924.png,58,13,F,6.6,False,False,0,0,0.0,,26,0.0,92%,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
97,Burnley,44,18931,Chris Wood,https://media.api-sports.io/football/players/18931.png,84,11,F,6.7,False,False,1,0,0.0,,14,0.0,56%,0,0,11.0,6.0,1.0,1.0,1,0,0,0,0,0,,1.0,1.0,,,,,
97,Burnley,44,18930,Matěj Vydra,https://media.api-sports.io/football/players/18930.png,6,27,F,6.8,False,True,1,0,0.0,,2,0.0,50%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
97,Burnley,44,19513,Sam Vokes,https://media.api-sports.io/football/players/19513.png,32,9,F,6.4,False,True,3,2,0.0,,4,1.0,66%,0,0,12.0,5.0,0.0,0.0,0,1,0,0,0,0,,,,,,,,
97,Burnley,44,18927,Ashley Barnes,https://media.api-sports.io/football/players/18927.png,10,10,F,6.8,False,True,1,0,0.0,,5,1.0,83%,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
97,Manchester United,33,882,David De Gea,https://media.api-sports.io/football/players/882.png,90,1,G,7.5,False,False,0,0,0.0,2.0,10,0.0,37%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,,
