fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,passes_key,tackles_blocks,offsides,shots_total,shots_on,goals_total,penalty_commited,penalty_won
1208703,Real Betis,543,1631,Ricardo Rodríguez,https://media.api-sports.io/football/players/1631.png,90.0,12,D,7.2,False,False,0,0.0,,54.0,49,11.0,4.0,0,0,0,0,,1.0,,,2.0,1.0,,,2.0,,,,,,,
1208703,Real Betis,543,1578,Giovani Lo Celso,https://media.api-sports.io/football/players/1578.png,45.0,20,M,6.9,False,False,0,0.0,,30.0,26,5.0,3.0,0,0,0,1,,3.0,,,1.0,,,,3.0,,,1.0,1.0,,,
1208703,Real Betis,543,133185,Johnny,https://media.api-sports.io/football/players/133185.png,90.0,4,M,7.7,False,False,0,0.0,,62.0,58,8.0,5.0,0,0,0,0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,,2.0,1.0,,,
1208703,Real Betis,543,9971,Antony,https://media.api-sports.io/football/players/9971.png,90.0,7,M,9.2,False,False,0,1.0,,66.0,56,8.0,4.0,0,0,0,0,,,2.0,1.0,,1.0,,3.0,4.0,,,3.0,1.0,1.0,,1.0
1208703,Real Betis,543,745,Isco,https://media.api-sports.io/football/players/745.png,82.0,22,M,8.3,True,False,0,0.0,,74.0,68,13.0,10.0,0,0,0,0,,3.0,2.0,1.0,1.0,,1.0,6.0,4.0,,,1.0,1.0,,,
1208703,Real Betis,543,443162,Jesús Rodriguez,https://media.api-sports.io/football/players/443162.png,74.0,36,M,7.7,False,False,0,0.0,,34.0,30,11.0,6.0,0,0,0,0,,,7.0,3.0,,1.0,,3.0,1.0,,,2.0,,,,
1208703,Real Betis,543,47582,Cucho Hernández,https://media.api-sports.io/football/players/47582.png,73.0,19,F,7.5,False,False,0,0.0,,18.0,12,19.0,10.0,0,0,0,0,,1.0,3.0,2.0,,2.0,1.0,1.0,,,,2.0,1.0,,,
1208703,Real Betis,543,47341,Marc Roca,https://media.api-sports.io/football/players/47341.png,45.0,21,M,9,False,True,0,0.0,,38.0,36,2.0,2.0,0,0,0,0,,2.0,,,,,,,,,,2.0,2.0,2.0,,
1208703,Real Betis,543,3033,Cédric Bakambu,https://media.api-sports.io/football/players/3033.png,17.0,11,F,6.2,False,True,0,0.0,,3.0,3,2.0,,0,0,0,0,,,1.0,,,1.0,,,,,,2.0,1.0,,,
1208703,Real Betis,543,47579,Chimy Ávila,https://media.api-sports.io/football/players/47579.png,16.0,9,F,6.7,False,True,0,0.0,,9.0,8,3.0,2.0,0,0,0,0,,,1.0,,,,,1.0,,,,,,,,
1208703,Real Betis,543,47119,Aitor Ruibal,https://media.api-sports.io/football/players/47119.png,15.0,24,D,6.9,False,True,0,0.0,,16.0,16,,,0,0,0,0,,,,,,,,,1.0,,,,,,,
1208703,Real Betis,543,340279,Vitor Roque,https://media.api-sports.io/football/players/340279.png,8.0,8,F,6.6,False,True,0,0.0,,6.0,5,2.0,,0,0,0,0,,,,,,1.0,,,,,,,,,,
1208703,Real Betis,543,329663,Guilherme Fernandes,https://media.api-sports.io/football/players/329663.png,,31,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Betis,543,179996,Francisco Vieites,https://media.api-sports.io/football/players/179996.png,,25,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Betis,543,195100,Natan,https://media.api-sports.io/football/players/195100.png,,6,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Betis,543,1264,Youssouf Sabaly,https://media.api-sports.io/football/players/1264.png,,23,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Betis,543,286084,Sergi Altimira,https://media.api-sports.io/football/players/286084.png,,16,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Betis,543,181421,Abdessamad Ezzalzouli,https://media.api-sports.io/football/players/181421.png,,10,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,47269,Álex Remiro,https://media.api-sports.io/football/players/47269.png,90.0,1,G,7.2,False,False,3,0.0,5.0,38.0,12,1.0,1.0,0,0,0,0,1.0,,,,,,,1.0,,,,,,,,
1208703,Real Sociedad,548,199044,Jon Aramburu,https://media.api-sports.io/football/players/199044.png,59.0,19,D,6.6,False,False,0,0.0,,11.0,10,12.0,6.0,1,0,0,0,,3.0,1.0,,,3.0,1.0,2.0,,1.0,,,,,,
1208703,Real Sociedad,548,47314,Igor Zubeldia,https://media.api-sports.io/football/players/47314.png,20.0,5,D,3.7,False,False,0,0.0,,11.0,11,1.0,,0,1,0,0,,,,,,1.0,,,,,,,,,,
1208703,Real Sociedad,548,21694,Nayef Aguerd,https://media.api-sports.io/football/players/21694.png,90.0,21,D,6.7,False,False,0,0.0,,30.0,21,13.0,7.0,0,0,0,0,,1.0,1.0,1.0,,2.0,,,,2.0,,,,,,
1208703,Real Sociedad,548,47303,Aihen Muñoz,https://media.api-sports.io/football/players/47303.png,45.0,3,D,6.5,False,False,0,0.0,,17.0,12,3.0,1.0,1,0,0,0,,1.0,,,,2.0,,,,1.0,,,,,1.0,
1208703,Real Sociedad,548,37938,Sheraldo Becker,https://media.api-sports.io/football/players/37938.png,75.0,11,M,5.9,False,False,0,0.0,,10.0,7,2.0,,0,1,0,0,,,,,,1.0,,,,,,,,,,
1208703,Real Sociedad,548,47315,Martín Zubimendi,https://media.api-sports.io/football/players/47315.png,90.0,4,M,6.2,False,False,0,0.0,,36.0,25,9.0,3.0,0,0,0,0,,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,
1208703,Real Sociedad,548,7332,Luka Sučić,https://media.api-sports.io/football/players/7332.png,76.0,24,M,6.5,False,False,0,0.0,,26.0,20,15.0,6.0,0,0,0,0,,1.0,6.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,,,,
1208703,Real Sociedad,548,23,Sergio Gómez,https://media.api-sports.io/football/players/23.png,90.0,17,M,7.2,False,False,0,0.0,,30.0,25,7.0,4.0,0,0,0,0,,2.0,,,2.0,1.0,3.0,,1.0,,,1.0,,,,
1208703,Real Sociedad,548,47440,Brais Méndez,https://media.api-sports.io/football/players/47440.png,25.0,23,F,6.6,False,False,0,0.0,,14.0,12,2.0,1.0,0,0,0,0,,,,,1.0,,,1.0,,,,,,,,
1208703,Real Sociedad,548,47323,Mikel Oyarzabal,https://media.api-sports.io/football/players/47323.png,59.0,10,F,6.6,True,False,0,0.0,,17.0,8,13.0,5.0,0,0,0,0,,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,
1208703,Real Sociedad,548,47298,Aritz Elustondo,https://media.api-sports.io/football/players/47298.png,65.0,6,D,6.3,False,True,0,0.0,,14.0,8,9.0,3.0,0,0,0,0,,2.0,,,1.0,3.0,,1.0,,1.0,,,,,,
1208703,Real Sociedad,548,182636,Javi López,https://media.api-sports.io/football/players/182636.png,45.0,12,D,6.2,False,True,0,0.0,,2.0,,2.0,2.0,0,0,0,0,,,,,,,,1.0,,,,,,,,
1208703,Real Sociedad,548,405073,Jon Martin,https://media.api-sports.io/football/players/405073.png,31.0,31,D,6.9,False,True,0,0.0,,3.0,2,3.0,2.0,0,0,0,0,,,,,,,,,,2.0,,1.0,1.0,,,
1208703,Real Sociedad,548,290106,Pablo Marín,https://media.api-sports.io/football/players/290106.png,31.0,28,M,6.5,False,True,0,0.0,,5.0,2,8.0,3.0,0,0,0,0,,,1.0,1.0,1.0,,,1.0,,,,,,,,
1208703,Real Sociedad,548,268960,Arsen Zakharyan,https://media.api-sports.io/football/players/268960.png,14.0,8,M,6.7,False,True,0,0.0,,1.0,1,,,0,0,0,0,,,,,,,,,,1.0,,,,,,
1208703,Real Sociedad,548,189832,Unai Marrero,https://media.api-sports.io/football/players/189832.png,,13,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,737,Álvaro Odriozola,https://media.api-sports.io/football/players/737.png,,2,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,182603,Jon Ander Olasagasti,https://media.api-sports.io/football/players/182603.png,,16,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,32862,Takefusa Kubo,https://media.api-sports.io/football/players/32862.png,,14,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,183744,Beñat Turrientes,https://media.api-sports.io/football/players/183744.png,,22,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,47317,Ander Barrenetxea,https://media.api-sports.io/football/players/47317.png,,7,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Sociedad,548,61774,Orri Steinn Óskarsson,https://media.api-sports.io/football/players/61774.png,,9,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208702,Barcelona,529,851,Wojciech Szczęsny,https://media.api-sports.io/football/players/851.png,90.0,25,G,7.9,False,False,0,0.0,4.0,42.0,38,,,0,0,0,0,0.0,,,,,,,,,,,,,,,
1208702,Barcelona,529,386859,Hector Fort,https://media.api-sports.io/football/players/386859.png,66.0,32,D,6.6,False,False,0,0.0,,29.0,25,3.0,,0,0,0,0,,,1.0,,,,2.0,,1.0,,,,,,,
1208702,Barcelona,529,396623,Pau Cubarsí,https://media.api-sports.io/football/players/396623.png,81.0,2,D,6.9,False,False,0,0.0,,89.0,78,4.0,4.0,0,0,0,0,,1.0,,,,,,,,,,,,,,
1208702,Barcelona,529,2670,Iñigo Martínez,https://media.api-sports.io/football/players/2670.png,90.0,5,D,7.9,False,False,0,0.0,,53.0,44,10.0,7.0,0,0,0,0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,1.0
1208702,Barcelona,529,161928,Alejandro Balde,https://media.api-sports.io/football/players/161928.png,90.0,3,D,7.5,False,False,0,0.0,,45.0,41,9.0,5.0,0,0,0,0,,,7.0,4.0,,,,,2.0,,,,,,,
1208702,Barcelona,529,538,Frenkie de Jong,https://media.api-sports.io/football/players/538.png,88.0,21,M,7.2,True,False,0,0.0,,83.0,76,5.0,3.0,0,0,0,0,,1.0,,,2.0,,2.0,2.0,,,,,,,,
1208702,Barcelona,529,133609,Pedri,https://media.api-sports.io/football/players/133609.png,90.0,8,M,7.9,False,False,0,0.0,,69.0,62,7.0,5.0,0,0,0,0,,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,
1208702,Barcelona,529,386828,Lamine Yamal,https://media.api-sports.io/football/players/386828.png,90.0,19,M,6.5,False,False,0,0.0,,29.0,20,11.0,5.0,0,0,0,0,,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,
